user id,count
4525,2
7041,1
350000000000424,2
350000000000477,0
350000000002165,4
350000000002444,6
350000000004301,1
350000000009132,3
350001147502522,0
350001403701954,0
350003094371542,0
350004526509210,0
350007093620171,0
350007614795906,0
350007717135549,0
411070026110727,0
411070026114497,0
411070026136970,2
411070026277179,0
411070026431376,3
411070026521494,2
417009499206116,0
460030000001090,0
460030020292127,3
460030020372096,0
460030091019076,0
460030091100347,8
460030091101014,0
460030091101704,7
460030091102624,17
460030091102662,4
460030091102974,10
460030091103276,0
460030091104091,30
460030091104370,13
460030091105195,2
460030091107034,0
460030091107134,3
460030091107953,16
460030091111330,2
460030091111612,0
460030091112619,3
460030091112964,1
460030091114329,3
460030091115536,0
460030091116743,19
460030091119906,0
460030091120414,20
460030091120756,4
460030091129214,15
460030091130407,0
460030091131261,1
460030091131463,3
460030091133929,1
460030091134297,1
460030091135741,0
460030091136173,0
460030091140499,4
460030091141636,8
460030091144133,2
460030091144515,1
460030091145516,0
460030091146147,11
460030091149277,0
460030091150650,0
460030091150721,10
460030091150916,8
460030091151166,2
460030091151411,37
460030091151714,3
460030091151727,6
460030091153436,1
460030091154612,19
460030091157117,2
460030091157270,2
460030091157671,3
460030091159212,5
460030091164015,7
460030091164101,2
460030091164534,3
460030091165192,3
460030091165417,0
460030091167902,0
460030091170264,1
460030091171569,4
460030091171620,2
460030091172579,7
460030091173303,0
460030091174542,3
460030091176943,2
460030091177470,1
460030091179497,7
460030091190513,6
460030091191606,9
460030091193122,0
460030091193213,0
460030091194071,1
460030091194365,0
460030091195692,9
460030091199666,1
460030091404323,3
460030091409732,0
460030091424137,3
460030091454565,0
460030091457432,23
460030091610962,1
460030091913177,0
460030092115616,0
460030092123602,2
460030094140146,31
460030094961627,0
460030096673631,0
460030096691510,7
460030096931366,11
460030099057716,0
460030099073920,0
460030099179061,0
460030099514546,0
460030099740943,2
460030099753116,0
460030099760911,0
460030099765579,0
460030110211026,0
460030117100511,18
460030117109332,2
460030117275307,2
460030130201423,1
